"question","answer"
"Укажите цену бакалавриат по направлению «Бизнес-информатика» (очное)?","Для профилей «Игровая компьютерная индустрия», «Цифровой дизайн и веб-разработка», «Бизнес-аналитик 1С» — 166 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Объясните, что означает бакалавриат?","Бакалавриат — первая ступень высшего образования. Традиционный срок обучения — 4 года (есть вариации). Выпускник получает диплом государственного образца и может работать или поступать в магистратуру."
"Скажите, пожалуйста, что означает «индивидуальный учебный план» в бакалавриате?","Это план, который университет разрабатывает под конкретного студента. Позволяет освоить программу ускоренно или углублённо, с учётом его возможностей, потребностей и предшествующего образования."
"А на базе 11 классов на бухгалтера очно?","1 год 10 месяцев."
"Скажите, пожалуйста, какой срок обучения в бакалавриате на базе высшего образования?","Для ускоренного обучения: очно-заочная классическая — 3 года 2 месяца, заочная дистанционная — 3 года. В некоторых программах есть заочная группа выходного дня — 3 года 6 месяцев."
"Назовите стоимость обучения заочное обучение (с ДОТ) за семестр?","По предоставленной таблице, заочная форма с ДОТ на базе и 9, и 11 классов стоит 50 000 рублей за семестр для указанных специальностей: Банковское дело, Дошкольное образование, Операционная деятельность в логистике, Разработка ПО, Реклама, Техническая эксплуатация ИС, Торговое дело, Финансы."
"Скажите, пожалуйста, есть ли бакалавриат по «Рекламе»?","Да, код 42.03.01 «Реклама и связи с общественностью». Очная форма — 166 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Скажите, пожалуйста, какие документы нужны для поступления в колледж?","1. Аттестат; 2. Паспорт; 3. Медицинская справка 086-у; 4. Ксерокопия приписного свидетельства (для юношей с 17 лет); 5. 2 фотографии 3×4; 6. Паспорт родителя (если поступающему нет 18 лет)."
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Укажите цену бакалавриат по «Психолого-педагогическому образованию» очно?","130 000 рублей за семестр (на базе СОО и СПО)."
"Какова стоимость заочное обучение (с ДОТ) за семестр?","По предоставленной таблице, заочная форма с ДОТ на базе и 9, и 11 классов стоит 50 000 рублей за семестр для указанных специальностей: Банковское дело, Дошкольное образование, Операционная деятельность в логистике, Разработка ПО, Реклама, Техническая эксплуатация ИС, Торговое дело, Финансы."
"Скажите, пожалуйста, есть ли бакалавриат по «Прикладной информатике» с профилем «Кибербезопасность цифрового предприятия»?","Да, код 09.03.03. Очная форма — 150 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Существует ли возможность учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Какова продолжительность обучения на юриста очно после 9 классов?","2 года 10 месяцев. Доступны две квалификации: «Юрист в сфере социального обеспечения» и «Юрист в сфере судебного администрирования» (код 40.02.04)."
"Укажите цену очное обучение на «Менеджменте» в бакалавриате?","166 000 рублей за семестр на базе СОО и СПО. Логистика, маркетинг, управление проектами, цифровой менеджмент — все по 166 000."
"Скажите, пожалуйста, в каких специальностях очная форма стоит 90 000–100 000 рублей на базе 9 классов?","«Дошкольное образование» (90 000), «Физическая культура» (90 000), «Финансы» (90 000), а также «Конгрессно-выставочная деятельность» (80 000) — это дешевле. «Дизайн» и «Банковское дело» — по 100 000."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Назовите стоимость обучения заочное обучение (с ДОТ) за семестр?","По предоставленной таблице, заочная форма с ДОТ на базе и 9, и 11 классов стоит 50 000 рублей за семестр для указанных специальностей: Банковское дело, Дошкольное образование, Операционная деятельность в логистике, Разработка ПО, Реклама, Техническая эксплуатация ИС, Торговое дело, Финансы."
"Скажите, пожалуйста, есть ли бакалавриат по «Прикладной информатике» с профилем «Кибербезопасность цифрового предприятия»?","Да, код 09.03.03. Очная форма — 150 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Скажите, пожалуйста, есть ли специальность «Конгрессно-выставочная деятельность»?","Да, код 38.02.09. Очная форма: срок 2 года 10 месяцев (9 кл.) / 1 год 10 месяцев (11 кл.), стоимость 80 000 (9 кл.) / 90 000 (11 кл.). Заочная форма в таблице стоимости не указана."
"Укажите цену специалитет по направлению «Таможенное дело» очно?","166 000 рублей за семестр."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Скажите, пожалуйста, есть ли ускоренное обучение в бакалавриате для тех, у кого уже есть высшее образование?","Да. На базе высшего образования возможна ускоренная очно-заочная классическая форма — 3 года 2 месяца, а также заочная дистанционная — 3 года. В некоторых программах присутствует группа выходного дня."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Скажите, пожалуйста, адрес и телефон приёмной комиссии?","Адрес: 115432, Москва, 2-й Кожуховский проезд, д.12, стр.1, каб. 101. Телефон: 8 (495) 818-99-43. E-mail: pk@muiv.ru"
"Разрешено ли заочно учиться на программиста после 11 классов?","Да, 09.02.11 «Разработка и управление программным обеспечением». Срок – 3 года 4 месяца, стоимость заочного обучения с ДОТ – 50 000 рублей за семестр."
"А на базе 11 классов на бухгалтера очно?","1 год 10 месяцев."
"Скажите, пожалуйста, какие сроки обучения в специалитете очно?","5 лет (нормативный срок для всех программ)."
"Скажите, пожалуйста, есть ли бакалавриат по «Рекламе»?","Да, код 42.03.01 «Реклама и связи с общественностью». Очная форма — 166 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Возможно ли получить специальность «Техническое обслуживание автотранспорта» заочно?","В таблице сроков заочной формы эта специальность (23.02.07) не указана. В таблице стоимости она есть только в очной (на базе СОО — 80 000 руб.). Скорее всего, заочной формы для неё нет."
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, сколько длится очно-заочное (заочное) обучение в бакалавриате?","4 года 6 месяцев. Для группы выходного дня — также 4 года 6 месяцев (кроме 38.03.05 «Бизнес-информатика» с профилем «Игровая компьютерная индустрия» — там 3 года 6 месяцев)."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Разрешено ли учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Существует ли возможность получить специальность «Техническое обслуживание автотранспорта» заочно?","В таблице сроков заочной формы эта специальность (23.02.07) не указана. В таблице стоимости она есть только в очной (на базе СОО — 80 000 руб.). Скорее всего, заочной формы для неё нет."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Укажите цену семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Скажите, пожалуйста, какая специальность имеет самый долгий срок обучения на базе 9 классов?","Несколько специальностей требуют 3 года 10 месяцев: «Компьютерные системы и комплексы», «Разработка и управление ПО», «Дошкольное образование», «Физическая культура», «Дизайн», «Интеграция решений с применением технологий ИИ»."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Укажите цену бакалавриат по направлению «Бизнес-информатика» (очное)?","Для профилей «Игровая компьютерная индустрия», «Цифровой дизайн и веб-разработка», «Бизнес-аналитик 1С» — 166 000 рублей за семестр (на базе СОО и СПО)."
"Какова стоимость бакалавриат по «Прикладной информатике» (ИИ и анализ данных) очно?","150 000 рублей за семестр (на базе СОО и СПО)."
"Назовите стоимость обучения специалитет по направлению «Таможенное дело» очно?","166 000 рублей за семестр."
"Сколько времени обучения на программиста очно после 9 класса?","3 года 10 месяцев. Специальность 09.02.11 «Разработка и управление программным обеспечением»."
"Скажите, пожалуйста, обучение по индивидуальному учебному плану доступно в колледже?","Да, образовательная организация может изменять сроки получения образования с учетом особенностей и образовательных потребностей конкретного обучающегося, в том числе для ускоренного обучения."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Скажите, пожалуйста, какая самая дорогая очная специальность на базе 11 классов?","120 000 рублей за семестр. Это: «Веб-разработка», «Интеграция с ИИ», «Компьютерные системы», «Разработка ПО», а также «Техническая эксплуатация ИС» (указано 120 000)."
"Возможно ли учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Разрешено ли после колледжа поступить на бакалавриат с сокращённым сроком?","Да, если ваша квалификация по профессии/специальности соответствует направлению бакалавриата. Сроки: очно — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, что означает «база среднего (полного) общего образования»?","Это обучение на базе 11 классов (среднее общее образование)."
"Скажите, пожалуйста, какова стоимость очного бакалавриата по «Туризму»?","130 000 рублей за семестр."
"Скажите, пожалуйста, какие есть формы обучения в колледже?","В колледже представлены две формы обучения: очная и заочная. Для некоторых специальностей также упоминается очно-заочная форма с применением дистанционных образовательных технологий (ДОТ) — информация о ней указана в таблице стоимости, но сроки в предоставленных данных для неё не приведены."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Скажите, пожалуйста, какие специальности на заочной форме имеют срок 3 года 4 месяца после 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Скажите, пожалуйста, есть ли специальности с очной стоимостью 80 000 рублей на базе 9 классов?","Да, две: «Конгрессно-выставочная деятельность» (43.02.16) и «Техническая эксплуатация и сопровождение ИС» (код 09.02.06 в таблице стоимости)."
"Укажите цену бакалавриат по «Психолого-педагогическому образованию» очно?","130 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, указана ли стоимость для очно-заочной формы обучения?","В таблице есть столбцы «ОЧНО-ЗАОЧНАЯ (с применением ДОТ)», но все ячейки для неё пусты. Стоимость по этой форме не предоставлена."
"Есть ли специальность «Физическая культура» и Назовите стоимость обучения?","Да, 49.02.01. Очная форма: 90 000 руб. (9 кл.) / 100 000 руб. (11 кл.). Срок: 3 г.10 м / 2 г.10 м."
"Скажите, пожалуйста, обучение по индивидуальному учебному плану доступно в колледже?","Да, образовательная организация может изменять сроки получения образования с учетом особенностей и образовательных потребностей конкретного обучающегося, в том числе для ускоренного обучения."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего профессионального образования?","Минимальное количество баллов за вступительное испытание -40 ."
"Разрешено ли после колледжа поступить на бакалавриат с сокращённым сроком?","Да, если ваша квалификация по профессии/специальности соответствует направлению бакалавриата. Сроки: очно — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Какова стоимость семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего профессионального образования?","Минимальное количество баллов за вступительное испытание -40 ."
"Скажите, пожалуйста, какой срок обучения в бакалавриате на базе высшего образования?","Для ускоренного обучения: очно-заочная классическая — 3 года 2 месяца, заочная дистанционная — 3 года. В некоторых программах есть заочная группа выходного дня — 3 года 6 месяцев."
"Какие специальности на заочной форме имеют срок 3 года 4 месяца на базе 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Существует ли возможность после колледжа поступить на бакалавриат с сокращённым сроком?","Да, если ваша квалификация по профессии/специальности соответствует направлению бакалавриата. Сроки: очно — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Укажите цену очно-заочная (группа выходного дня) в бакалавриате?","Обычно 100 000–166 000 руб./семестр. Например: «Менеджмент» (управление проектами) — 100 000 руб. на базе СОО, «Экономика» — 100 000 руб. Точная стоимость зависит от направления."
"Скажите, пожалуйста, какой срок обучения в бакалавриате на базе высшего образования?","Для ускоренного обучения: очно-заочная классическая — 3 года 2 месяца, заочная дистанционная — 3 года. В некоторых программах есть заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, есть ли специальность «Дизайн», и сколько учиться после 11 класса?","Да, специальность 54.02.01 «Дизайн (по отраслям)». Срок обучения на базе 11 классов – 2 года 10 месяцев."
"Скажите, пожалуйста, есть ли бакалавриат по «Рекламе»?","Да, код 42.03.01 «Реклама и связи с общественностью». Очная форма — 166 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Скажите, пожалуйста, какой срок обучения в бакалавриате на базе высшего образования?","Для ускоренного обучения: очно-заочная классическая — 3 года 2 месяца, заочная дистанционная — 3 года. В некоторых программах есть заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, сколько длится очно-заочное (заочное) обучение в бакалавриате?","4 года 6 месяцев. Для группы выходного дня — также 4 года 6 месяцев (кроме 38.03.05 «Бизнес-информатика» с профилем «Игровая компьютерная индустрия» — там 3 года 6 месяцев)."
"Скажите, пожалуйста, есть ли ускоренное обучение в бакалавриате для тех, у кого уже есть высшее образование?","Да. На базе высшего образования возможна ускоренная очно-заочная классическая форма — 3 года 2 месяца, а также заочная дистанционная — 3 года. В некоторых программах присутствует группа выходного дня."
"Какая специальность имеет максимальный срок заочного обучения после 9 классов?","4 года 4 месяца. Это специальности: 44.02.01 «Дошкольное образование» и 09.02.11 «Разработка и управление программным обеспечением»."
"Скажите, пожалуйста, по какой специальности готовят «Специалиста по работе с искусственным интеллектом»?","Код 09.02.13 «Интеграция решений с применением технологий искусственного интеллекта». Срок обучения очно: после 9 классов – 3 года 10 месяцев, после 11 – 2 года 10 месяцев."
"Скажите, пожалуйста, сколько длится очно-заочное (заочное) обучение в бакалавриате?","4 года 6 месяцев. Для группы выходного дня — также 4 года 6 месяцев (кроме 38.03.05 «Бизнес-информатика» с профилем «Игровая компьютерная индустрия» — там 3 года 6 месяцев)."
"Скажите, пожалуйста, в специальности «Экономика и бухгалтерский учет» есть заочная форма по указанной цене?","Нет. В таблице стоимости для 38.02.01 указана только очная форма (100 000 / 110 000). Заочная форма для этой специальности в таблице стоимости отсутствует."
"Назовите стоимость обучения бакалавриат по «Педагогическому образованию» с двумя профилями очно?","130 000 рублей за семестр (на базе СОО)."
"Назовите стоимость обучения очно-заочная (группа выходного дня) в бакалавриате?","Обычно 100 000–166 000 руб./семестр. Например: «Менеджмент» (управление проектами) — 100 000 руб. на базе СОО, «Экономика» — 100 000 руб. Точная стоимость зависит от направления."
"Какие сроки на бухгалтера очно после 9 классов?","2 года 10 месяцев. Специальность 38.02.01 «Экономика и бухгалтерский учет»."
"Существует ли возможность заочно учиться на программиста после 11 классов?","Да, 09.02.11 «Разработка и управление программным обеспечением». Срок – 3 года 4 месяца, стоимость заочного обучения с ДОТ – 50 000 рублей за семестр."
"Скажите, пожалуйста, есть ли специальность «Конгрессно-выставочная деятельность»?","Да, код 38.02.09. Очная форма: срок 2 года 10 месяцев (9 кл.) / 1 год 10 месяцев (11 кл.), стоимость 80 000 (9 кл.) / 90 000 (11 кл.). Заочная форма в таблице стоимости не указана."
"Скажите, пожалуйста, есть ли специалитет с заочной формой?","Да. Например, «Таможенное дело» — заочная форма с ДОТ стоит 50 000 руб./семестр. Срок обучения — 6 лет."
"Укажите цену бакалавриат по «Государственному и муниципальному управлению» очно?","166 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Какие сроки на веб-разработчика после 11 классов очно?","1 год 10 месяцев. Специальность 09.02.09 «Веб-разработка»."
"Скажите, пожалуйста, какие сроки обучения в специалитете очно?","5 лет (нормативный срок для всех программ)."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Укажите цену семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Назовите стоимость обучения бакалавриат по «Педагогическому образованию» с двумя профилями очно?","130 000 рублей за семестр (на базе СОО)."
"Скажите, пожалуйста, указана ли стоимость для очно-заочной формы обучения?","В таблице есть столбцы «ОЧНО-ЗАОЧНАЯ (с применением ДОТ)», но все ячейки для неё пусты. Стоимость по этой форме не предоставлена."
"Скажите, пожалуйста, какова стоимость очного бакалавриата по «Туризму»?","130 000 рублей за семестр."
"Какова стоимость специалитет по направлению «Таможенное дело» очно?","166 000 рублей за семестр."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Какова стоимость очное обучение на «Менеджменте» в бакалавриате?","166 000 рублей за семестр на базе СОО и СПО. Логистика, маркетинг, управление проектами, цифровой менеджмент — все по 166 000."
"Возможно ли заочно учиться на финансиста после 11 классов?","Да, специальность 38.02.06 «Финансы». Срок – 2 года 4 месяца."
"Есть ли специальность «Физическая культура» и Какова стоимость?","Да, 49.02.01. Очная форма: 90 000 руб. (9 кл.) / 100 000 руб. (11 кл.). Срок: 3 г.10 м / 2 г.10 м."
"Какова стоимость очное обучение на «Менеджменте» в бакалавриате?","166 000 рублей за семестр на базе СОО и СПО. Логистика, маркетинг, управление проектами, цифровой менеджмент — все по 166 000."
"Назовите стоимость обучения специалитет по направлению «Таможенное дело» очно?","166 000 рублей за семестр."
"Скажите, пожалуйста, какие есть формы обучения в колледже?","В колледже представлены две формы обучения: очная и заочная. Для некоторых специальностей также упоминается очно-заочная форма с применением дистанционных образовательных технологий (ДОТ) — информация о ней указана в таблице стоимости, но сроки в предоставленных данных для неё не приведены."
"Разрешено ли учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Можно ли выучиться на банковского специалиста заочно?","Да, специальность 38.02.07 «Банковское дело». Сроки: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, что за специальность 09.02.12?","«Техническая эксплуатация и сопровождение информационных систем». Срок очно: 2 года 10 месяцев (9 кл.) / 1 год 10 месяцев (11 кл.). Заочно: 3 года 4 месяца (9 кл.) / 2 года 4 месяца (11 кл.)."
"Назовите стоимость обучения бакалавриат по «Государственному и муниципальному управлению» очно?","166 000 рублей за семестр (на базе СОО и СПО)."
"Возможно ли подать заявление через «Госуслуги»?","Да. В личном кабинете на портале Госуслуги можно заполнить заявку, загрузить документы и потом подтвердить поступление."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Скажите, пожалуйста, есть ли бакалавриат по «Прикладной информатике» с профилем «Кибербезопасность цифрового предприятия»?","Да, код 09.03.03. Очная форма — 150 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
